key,context,swedish,englishUK,englishUS,status,translator,lastModified,notes,charCount
b2b.marketing.bilder,"    { value: 'alla', label: t('marketing.file_types.all', 'Alla filtyper') },     { value: 'image', label: t('marketing.file_types.images', 'Bilder') },     { value: 'video', label: t('marketing.file_types.videos', 'Videos') },:MarketingMaterialsPage.jsx",Bilder,,,new,,,"From     { value: 'alla', label: t('marketing.file_types.all', 'Alla filtyper') },     { value: 'image', label: t('marketing.file_types.images', 'Bilder') },     { value: 'video', label: t('marketing.file_types.videos', 'Videos') },",6
b2b.marketing.video,"    { value: 'image', label: t('marketing.file_types.images', 'Bilder') },     { value: 'video', label: t('marketing.file_types.videos', 'Videos') },     { value: 'document', label: t('marketing.file_types.documents', 'Dokument') },:MarketingMaterialsPage.jsx",video,,,new,,,"From     { value: 'image', label: t('marketing.file_types.images', 'Bilder') },     { value: 'video', label: t('marketing.file_types.videos', 'Videos') },     { value: 'document', label: t('marketing.file_types.documents', 'Dokument') },",5
b2b.marketing.s_okay_if_customer_materials_don,        } catch (error) {           // It's okay if customer materials don't exist yet           console.log('No customer-specific materials found');:MarketingMaterialsPage.jsx,s okay if customer materials don,,,new,,,From         } catch (error) {           // It's okay if customer materials don't exist yet           console.log('No customer-specific materials found');,32
b2b.marketing.kunde_inte_ladda_marknadsforingsmaterial,"      console.error('Error loading materials:', error);       toast.error(t('marketing.errors.load_failed', 'Kunde inte ladda marknadsföringsmaterial'));     } finally {:MarketingMaterialsPage.jsx",Kunde inte ladda marknadsföringsmaterial,,,new,,,"From       console.error('Error loading materials:', error);       toast.error(t('marketing.errors.load_failed', 'Kunde inte ladda marknadsföringsmaterial'));     } finally {",40
b2b.marketing.nedladdning_startad,"      await downloadFile(material.downloadURL, material.fileName);       toast.success(t('marketing.download.started', 'Nedladdning startad'));     } catch (error) {:MarketingMaterialsPage.jsx",Nedladdning startad,,,new,,,"From       await downloadFile(material.downloadURL, material.fileName);       toast.success(t('marketing.download.started', 'Nedladdning startad'));     } catch (error) {",19
b2b.marketing.kunde_inte_ladda_ner_filen,"      console.error('Download error:', error);       toast.error(t('marketing.errors.download_failed', 'Kunde inte ladda ner filen'));     }:MarketingMaterialsPage.jsx",Kunde inte ladda ner filen,,,new,,,"From       console.error('Download error:', error);       toast.error(t('marketing.errors.download_failed', 'Kunde inte ladda ner filen'));     }",26
b2b.marketing.du_maste_vara_inloggad_for_att_se_marknadsforingsm,          <div className=:text-center,Du måste vara inloggad för att se marknadsföringsmaterial,,,new,,,From           <div className=,57
b2b.marketing.logga_in,            <Link to=:/login,Logga in,,,new,,,From             <Link to=,8
b2b.marketing.marknadsforingsmaterial,            <div>               <h1 className=:text-2xl md:text-3xl font-bold text-gray-900,Marknadsföringsmaterial,,,new,,,From             <div>               <h1 className=,23
b2b.marketing.ladda_ner_bilder_broschyrer_videos_och_annat_mater,              <p className=:mt-2 text-base md:text-lg text-gray-600,"Ladda ner bilder, broschyrer, videos och annat material för marknadsföring",,,new,,,From               <p className=,74
b2b.marketing.wfull_smwauto_inlineflex_itemscenter_justifycenter,                to=:/,w-full sm:w-auto inline-flex items-center justify-center px-4 py-3 md:py-2 border border-gray-300 text-base md:text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 min-h-[48px] md:min-h-0,,,new,,,From                 to=,205
b2b.marketing.tillbaka_till_dashboard,"              >                 {t('marketing.back_to_dashboard', 'Tillbaka till Dashboard')}               </Link>:MarketingMaterialsPage.jsx",Tillbaka till Dashboard,,,new,,,"From               >                 {t('marketing.back_to_dashboard', 'Tillbaka till Dashboard')}               </Link>",23
b2b.marketing.wfull_smwauto_inlineflex_itemscenter_justifycenter,                  to=:/admin/marketing,w-full sm:w-auto inline-flex items-center justify-center px-4 py-3 md:py-2 border border-transparent text-base md:text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 min-h-[48px] md:min-h-0,,,new,,,From                   to=,209
b2b.marketing.hantera_material,"                >                   {t('marketing.manage_materials', 'Hantera Material')}                 </Link>:MarketingMaterialsPage.jsx",Hantera Material,,,new,,,"From                 >                   {t('marketing.manage_materials', 'Hantera Material')}                 </Link>",16
b2b.marketing.filter_och_sok,            <FunnelIcon className=:h-5 w-5 text-gray-400 mr-2,Filter och sök,,,new,,,From             <FunnelIcon className=,14
b2b.marketing.sok_material,              <label className=:block text-base md:text-sm font-medium text-gray-700 mb-2,Sök material,,,new,,,From               <label className=,12
b2b.marketing.flex_itemsend,            </div>             <div className=:flex items-end,flex items-end,,,new,,,From             </div>             <div className=,14
b2b.marketing.allmant_material,                  <dl>                     <dt className=:text-sm font-medium text-gray-500 truncate,Allmänt material,,,new,,,From                   <dl>                     <dt className=,16
b2b.marketing.filtrerat,                  <dl>                     <dt className=:text-sm font-medium text-gray-500 truncate,Filtrerat,,,new,,,From                   <dl>                     <dt className=,9
b2b.marketing.inget_material_hittades,            </div>             <h3 className=:text-lg font-medium text-gray-900 mb-2,Inget material hittades,,,new,,,From             </div>             <h3 className=,23
b2b.marketing.inlineflex_itemscenter_justifycenter_px6_py3_mdpx4,                }}                 className=:inline-flex items-center justify-center px-6 py-3 md:px-4 md:py-2 border border-transparent text-base md:text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 min-h-[48px] md:min-h-0,inline-flex items-center justify-center px-6 py-3 md:px-4 md:py-2 border border-transparent text-base md:text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 min-h-[48px] md:min-h-0,,,new,,,From                 }}                 className=,200
b2b.marketing.visa_allt_material,"              >                 {t('marketing.empty.show_all', 'Visa allt material')}               </button>:MarketingMaterialsPage.jsx",Visa allt material,,,new,,,"From               >                 {t('marketing.empty.show_all', 'Visa allt material')}               </button>",18
b2b.marketing.textlg_fontsemibold_textgray900_flex_itemscenter,                <div className=:px-6 py-4 border-b border-gray-200,text-lg font-semibold text-gray-900 flex items-center,,,new,,,From                 <div className=,53
b2b.marketing.group_relative_bgwhite_border_bordergray200_rounde,                    {materials.map((material) => (                       <div key={`${material.source}-${material.id}`} className=:group relative bg-white border border-gray-200 rounded-xl p-6 hover:shadow-xl hover:border-blue-200 transition-all duration-300 flex flex-col h-full,group relative bg-white border border-gray-200 rounded-xl p-6 hover:shadow-xl hover:border-blue-200 transition-all duration-300 flex flex-col h-full,,,new,,,From                     {materials.map((material) => (                       <div key={`${material.source}-${material.id}`} className=,148
b2b.marketing.text3xl_flex_itemscenter_justifycenter_hfull_textg,                            <span                                className=:text-3xl flex items-center justify-center h-full text-gray-400,text-3xl flex items-center justify-center h-full text-gray-400,,,new,,,From                             <span                                className=,62
b2b.marketing.wfull_inlineflex_itemscenter_justifycenter_px4_py3,                            onClick={() => handleDownload(material)}                             className=:w-full inline-flex items-center justify-center px-4 py-3 md:py-3 border border-transparent text-base md:text-sm font-medium rounded-lg text-white bg-gradient-to-r from-blue-600 to-blue-700 hover:from-blue-700 hover:to-blue-800 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500 transition-all duration-200 shadow-sm hover:shadow-md min-h-[48px] md:min-h-0,w-full inline-flex items-center justify-center px-4 py-3 md:py-3 border border-transparent text-base md:text-sm font-medium rounded-lg text-white bg-gradient-to-r from-blue-600 to-blue-700 hover:from-blue-700 hover:to-blue-800 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500 transition-all duration-200 shadow-sm hover:shadow-md min-h-[48px] md:min-h-0,,,new,,,From                             onClick={() => handleDownload(material)}                             className=,376
b2b.marketing.ladda_ner,                            <ArrowDownTrayIcon className=:w-4 h-4 mr-2,Ladda ner,,,new,,,From                             <ArrowDownTrayIcon className=,9
b2b.orders.blandade_farger,"  return [{     color: order.color || 'Blandade färger',     size: order.size || 'Blandade storlekar',:OrderDetailPage.jsx",Blandade färger,,,new,,,"From   return [{     color: order.color || 'Blandade färger',     size: order.size || 'Blandade storlekar',",15
b2b.orders.fetching_order_with_id,"      setLoading(true);       console.log('Fetching order with ID:', orderId);       const orderData = await getOrderById(orderId);:OrderDetailPage.jsx",Fetching order with ID:,,,new,,,"From       setLoading(true);       console.log('Fetching order with ID:', orderId);       const orderData = await getOrderById(orderId);",23
b2b.orders.bestallningen_hittades_inte,      if (!orderData) {         setError(orderError || 'Beställningen hittades inte');         toast.error('Beställningen hittades inte');:OrderDetailPage.jsx,Beställningen hittades inte,,,new,,,From       if (!orderData) {         setError(orderError || 'Beställningen hittades inte');         toast.error('Beställningen hittades inte');,27
b2b.orders.kunde_inte_hamta_bestallningsdetaljer,"      console.error('Error fetching order:', err);       setError('Kunde inte hämta beställningsdetaljer');       toast.error('Kunde inte hämta beställningsdetaljer');:OrderDetailPage.jsx",Kunde inte hämta beställningsdetaljer,,,new,,,"From       console.error('Error fetching order:', err);       setError('Kunde inte hämta beställningsdetaljer');       toast.error('Kunde inte hämta beställningsdetaljer');",37
